ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-1881897,MapQuest,201,2,2018-09-11T19:46:24Z,2018-09-11T20:16:12Z,38.041431,-120.28566,NA,NA,0,Accident on Big Hill Rd at Robertson Ranch Rd.,16201,Big Hill Rd,L,Sonora,Tuolumne,CA,95370-8355,US,US/Pacific,KO22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-1174990,MapQuest,201,2,2019-09-20T18:41:38Z,2019-09-20T20:27:02Z,29.707102,-95.251236,NA,NA,0,Left lane blocked due to accident on TX-225 Westbound at Allen Genoa Rd.,9725,La Porte Fwy,L,Houston,Harris,TX,77017-2722,US,US/Central,KHOU,2019-09-20T18:53:00Z,80,80,79,29.94,9,E,6,0,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1560992,MapQuest,201,2,2019-01-31T16:06:31Z,2019-01-31T16:36:07Z,34.0415,-118.16922,NA,NA,0,Accident on Cesar E Chavez Ave at Ford Blvd.,4466,Dozier St,R,Los Angeles,Los Angeles,CA,90022-1405,US,US/Pacific,KCQT,2019-01-31T15:47:00Z,59,NA,69,29.91,10,East,8.1,NA,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3900356,Bing,NA,4,2019-03-03T16:19:30Z,2019-03-03T16:49:28Z,29.945114,-81.302187,NA,NA,0.352,Closed at Francis and Mary Usina Brg - Road closed due to accident.,3890,Coastal Hwy,R,Saint Augustine,St. Johns,FL,32084-1777,US,US/Eastern,KSGJ,2019-03-03T15:56:00Z,82.9,NA,47,29.85,10,Variable,6.9,NA,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2007862,MapQuest,201,2,2018-07-13T04:12:14Z,2018-07-13T04:42:04Z,33.93689,-118.041672,NA,NA,0,Accident on Telegraph Rd at Florence Ave.,NA,Florence Ave,R,Whittier,Los Angeles,CA,90605,US,US/Pacific,KFUL,2018-07-13T03:53:00Z,71.1,NA,78,29.97,10,Calm,NA,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Day
A-790568,MapQuest-Bing,201,2,2020-06-23T05:03:54Z,2020-06-23T05:48:15Z,40.718117,-112.110069,NA,NA,0,Right hand shoulder blocked due to accident on UT-201 2400 S Eastbound at 9180 W St.,NA,State Route 201,R,Magna,Salt Lake,UT,84044,US,US/Mountain,KU42,2020-06-23T04:54:00Z,63,63,50,25.79,10,S,6,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-2734836,Bing,NA,2,2016-10-25T08:00:17Z,2016-10-25T14:00:17Z,39.19258,-94.61711,NA,NA,0.309,At I-635/Exit 3 - Accident.,NA,I-29 S,R,Kansas City,Platte,MO,64151,US,US/Central,KNKA,2016-10-25T07:17:00Z,NA,NA,NA,NA,NA,North,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1925132,MapQuest,201,3,2018-08-02T10:39:57Z,2018-08-02T11:23:57Z,42.194199,-83.388977,NA,NA,0,Left hand shoulder blocked and right hand shoulder blocked due to accident on I-275 Northbound at Exit 15 Eureka Rd.,NA,I-275 S,R,Romulus,Wayne,MI,48174,US,US/Eastern,KDTW,2018-08-02T10:53:00Z,77,NA,64,30.04,7,SSW,6.9,NA,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1846438,MapQuest,201,3,2018-10-25T18:41:53Z,2018-10-25T19:41:23Z,38.222847,-85.505775,NA,NA,0,Right hand shoulder blocked due to accident on I-64 Eastbound at I-265.,NA,I-64 W,R,Louisville,Jefferson,KY,40299,US,US/Eastern,KLOU,2018-10-25T18:53:00Z,55.9,NA,60,30,10,East,5.8,NA,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1970225,MapQuest,241,3,2018-08-24T12:34:23Z,2018-08-24T13:04:08Z,37.556206,-77.410133,NA,NA,0,Lane blocked and right hand shoulder blocked due to accident on I-64 Westbound at Exit 192 US-360 Mechanicsville Tpke.,NA,Mechanicsville Tpke,R,Richmond,Richmond City,VA,23223,US,US/Eastern,KRIC,2018-08-24T12:54:00Z,80.1,NA,47,30.25,10,East,5.8,NA,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2167390,MapQuest,201,3,2018-04-03T15:12:40Z,2018-04-03T15:57:25Z,33.912918,-118.140831,NA,NA,0,Right hand shoulder blocked due to accident on I-105 Eastbound at Exit 16 CA-19 Lakewood Blvd.,NA,I-105 E,R,Downey,Los Angeles,CA,90242,US,US/Pacific,KLGB,2018-04-03T14:53:00Z,69.1,NA,51,29.97,10,South,10.4,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-746283,MapQuest,241,3,2020-08-29T14:29:51Z,2020-08-29T15:55:32Z,44.961502,-92.773544,NA,NA,0,Lane blocked due to accident on I-94 Westbound at Exit 258 CR-18 St Croix Trl.,NA,Saint Croix Trl S,R,Lakeland,Washington,MN,55043,US,US/Central,K21D,2020-08-29T14:43:00Z,73,73,47,28.94,10,NNW,10,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-440963,MapQuest,201,3,2017-05-22T02:34:29Z,2017-05-22T03:04:10Z,34.06617,-117.489075,NA,NA,0.00999999977648,Accident on I-10 Westbound before Cherry Ave.,NA,I-10 W,R,Fontana,San Bernardino,CA,92335,US,US/Pacific,KONT,2017-05-22T02:53:00Z,64.9,NA,68,29.88,10,Calm,NA,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-963914,MapQuest,201,2,2020-02-20T16:45:15Z,2020-02-20T18:00:05Z,33.66864,-112.037018,NA,NA,0,Accident on 21st St at Menadota Dr.,20031,N 21st St,R,Phoenix,Maricopa,AZ,85024-1212,US,US/Mountain,KDVT,2020-02-20T16:53:00Z,76,76,16,28.42,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
